#These data are freely available under tha Creative Commons Attribution 4.0 International Licence (CC BY 4.0)
# when using the data please cite:
# Petricca, Patrizio (2018): Revised dataset of known faults in Italy. GFZ Data Services. http://doi.org/10.5880/fidgeo.2018.003
#
#
#ID	Lf_max [km]	MwInstr_max	MwHist_max	PEMM
A1	0	0	0	0
A2	0	0	0	0
A3	0	0	0	0
A4	0	0	0	0
A5	0	0	3.9	0
A6	0	2.5	5.14	0
A7	0	4.4	0	0
A8	0	2.1	0	0
A9	0	2.6	6.2	0
A10	0	2.3	0	0
A11	0	3.1	0	0
A12	0	0	0	0
A13	0	2.1	0	0
A14	0	3.7	0	0
A15	0	3.2	0	0
A16	0	0	0	0
A17	0	2.6	0	0
A18	0	2.6	0	0
A19	0	0	0	0
A20	0	2.5	0	0
A21	0	0	0	0
A22	0	0	0	0
A23	0	0	0	0
A24	0	0	0	0
A25	0	0	0	0
A26	0	0	0	0
A27	0	0	0	0
A28	0	0	0	0
A29	0	0	0	0
A30	0	0	0	0
A31	0	0	0	0
A32	0	0	0	0
A33	0	0	0	0
A34	0	0	0	0
A35	0	0	0	0
A36	0	4.5	0	0
A37	0	0	0	0
A38	0	0	0	0
A39	0	0	0	0
A40	0	0	0	0
A41	0	0	0	0
A42	0	0	0	0
A43	0	0	0	0
A44	0	0	0	0
A45	0	0	0	0
A46	0	0	0	0
A47	0	0	0	0
A48	0	0	0	0
A49	0	0	0	0
A50	0	0	0	0
A51	0	0	0	0
A52	0	0	0	0
A53	0	0	0	0
A54	0	0	0	0
A55	0	0	0	0
A56	0	0	0	0
B1	0	0	0	0
B2	0	2.8	0	0
B3	0	0	0	0
B4	0	2.3	0	0
B5	0	2.4	4.3	0
B6	0	4.6	5.14	0
B7	0	2.2	4.93	0
B8	13.53	2.1	4.72	6.12927
B9	0	3.6	5.14	0
B10	12	2.1	0	6.04223
B11	0	0	0	0
B12	0	0	4.72	0
B13	0	2.8	4.93	0
B14	0	3.6	4.72	0
B15	13.09	2.2	0	6.10529
B16	0	3	0	0
B17	0	2.3	0	0
B18	0	2.3	0	0
B19	0	2.4	0	0
B20	0	2.6	0	0
B21	0	0	0	0
B22	0	0	0	0
B23	0	0	0	0
B24	0	0	0	0
B25	0	0	0	0
B26	0	0	0	0
B27	0	0	0	0
B28	0	0	0	0
B29	0	0	0	0
B30	0	0	0	0
B31	0	0	0	0
B32	0	0	0	0
B33	0	0	0	0
B34	0	0	0	0
B35	0	0	0	0
B36	0	0	0	0
B37	0	0	0	0
B38	0	0	0	0
B39	0	0	0	0
B40	0	0	0	0
B41	0	0	0	0
B42	0	0	0	0
B43	0	0	0	0
B44	0	0	0	0
B45	0	0	0	0
B46	0	0	0	0
B47	0	0	0	0
B48	0	0	0	0
B49	0	0	0	0
B50	0	0	0	0
B51	0	0	0	0
B52	0	0	0	0
B53	0	0	0	0
B54	0	0	0	0
B55	0	0	0	0
B56	0	0	0	0
C1	0	2.5	0	0
C2	6.97	3.1	0	5.6482
C3	13.71	0	0	6.13885
C4	5.93	2.8	4.3	5.531
C5	0	3.4	5.14	0
C6	13.89	3.1	5.14	6.14831
C7	0	2.6	0	0
C8	0	2.9	0	0
C9	0	3.5	4.51	0
C10	3.44	3.3	4.3	5.13605
C11	3.37	4.1	5.33	5.12114
C12	60.69	3.1	5.35	7.21781
C13	60.69	4.1	0	7.21781
C14	0	2.8	0	0
C15	0	2.2	0	0
C16	0	2.1	0	0
C17	0	2.4	0	0
C18	0	2.3	0	0
C19	0	2.7	0	0
C20	0	2.3	0	0
C21	0	0	0	0
C22	0	0	0	0
C23	0	0	0	0
C24	0	0	0	0
C25	0	0	0	0
C26	0	0	0	0
C27	0	0	0	0
C28	0	0	0	0
C29	0	0	0	0
C30	0	0	0	0
C31	0	0	0	0
C32	0	0	0	0
C33	0	0	0	0
C34	0	0	0	0
C35	0	0	0	0
C36	0	0	0	0
C37	0	0	0	0
C38	0	0	0	0
C39	0	0	0	0
C40	0	0	0	0
C41	0	0	0	0
C42	0	0	0	0
C43	0	0	0	0
C44	0	0	0	0
C45	0	0	0	0
C46	0	0	0	0
C47	0	0	0	0
C48	0	0	0	0
C49	0	0	0	0
C50	0	0	0	0
C51	0	0	0	0
C52	0	0	0	0
C53	0	0	0	0
C54	0	0	0	0
C55	0	0	0	0
C56	0	0	0	0
D1	0	0	0	0
D2	0	2.8	0	0
D3	7.68	0	0	5.71855
D4	7.68	2.4	6.4	5.71855
D5	0	2.3	4.7	0
D6	2.27	4.2	5.66	4.83456
D7	2.45	2.5	0	4.88991
D8	0	2.6	0	0
D9	0	2.5	0	0
D10	0	2.7	3.87	0
D11	0	2.7	4.3	0
D12	4.18	3.2	0	5.27736
D13	60.69	3.2	5.14	7.21781
D14	60.69	2.7	0	7.21781
D15	0	2.5	0	0
D16	7.8	0	0	5.7298
D17	10.28	2.1	0	5.93003
D18	0	2.3	0	0
D19	0	0	0	0
D20	0	0	0	0
D21	0	0	0	0
D22	0	0	0	0
D23	0	0	0	0
D24	0	0	0	0
D25	0	0	0	0
D26	0	0	0	0
D27	0	0	0	0
D28	0	0	0	0
D29	0	0	0	0
D30	0	0	0	0
D31	0	0	0	0
D32	0	0	0	0
D33	0	0	0	0
D34	0	0	0	0
D35	0	0	0	0
D36	0	0	0	0
D37	0	0	0	0
D38	0	0	0	0
D39	0	0	0	0
D40	0	0	0	0
D41	0	0	0	0
D42	0	0	0	0
D43	0	0	0	0
D44	0	0	0	0
D45	0	0	0	0
D46	0	0	0	0
D47	0	0	0	0
D48	0	0	0	0
D49	0	0	0	0
D50	0	0	0	0
D51	0	0	0	0
D52	0	0	0	0
D53	0	0	0	0
D54	0	0	0	0
D55	0	0	0	0
D56	0	0	0	0
E1	0	3.6	0	0
E2	0	2.4	0	0
E3	3.78	2.2	5	5.20441
E4	3.88	2.7	6.1	5.22335
E5	0	3.5	6.4	0
E6	0	2.8	0	0
E7	33.62	2.5	4.09	6.78942
E8	0	0	0	0
E9	0	3.4	4.72	0
E10	0	4.3	5.45	0
E11	0	3.2	5.69	0
E12	22.24	3.8	4.72	6.48972
E13	10	3.9	4.89	5.91
E14	60.69	3.1	0	7.21781
E15	0	3.1	5.68	0
E16	35.49	3	4.62	6.82868
E17	16.8	0	0	6.28627
E18	16.8	0	0	6.28627
E19	0	0	0	0
E20	0	2.4	0	0
E21	0	3.7	0	0
E22	0	2.2	0	0
E23	0	0	0	0
E24	0	0	0	0
E25	0	0	0	0
E26	0	0	0	0
E27	0	0	0	0
E28	0	0	0	0
E29	0	0	0	0
E30	0	0	0	0
E31	0	0	0	0
E32	0	0	0	0
E33	0	0	0	0
E34	0	0	0	0
E35	0	0	0	0
E36	0	0	0	0
E37	0	0	0	0
E38	0	0	0	0
E39	0	0	0	0
E40	0	0	0	0
E41	0	0	0	0
E42	0	0	0	0
E43	0	0	0	0
