Time	# Active Stations	ECNE (red > 0.6)	ECPN (red > 0.6)	EMFO (red > 0.6)	EPDN (red > 0.6)	EPLC (red > 0.6)	ESLN (red > 0.6)	ESPC (red > 0.6)	ESVO (red > 0.6)	
20210101_00:00	8	0	0	0	0	0	0	0	0	
20210101_00:05	8	0	0	0	0	0	0	0	0	
20210101_00:10	8	0	0	0	0	0	0	0	0	
20210101_00:15	8	0	0	0	0	0	0	0	0	
20210101_00:20	8	0	0	0	0	0	0	0	0	
20210101_00:25	8	0	0	0	0	0	0	0	0	
20210101_00:30	8	0	0	0	0	0	0	0	0	
20210101_00:35	8	0	0	0	0	0	0	0	0	
20210101_00:40	8	0	0	0	0	0	0	0	0	
20210101_00:45	8	0	0	0	0	0	0	0	0	
20210101_00:50	8	0	0	0	0	0	0	0	0	
20210101_00:55	8	0	0	0	0	0	0	0	0	
20210101_01:00	8	0	0	0	0	0	0	0	0	
20210101_01:05	8	0	0	0	0	0	0	0	0	
20210101_01:10	8	0	0	0	0	0	0	0	0	
20210101_01:15	8	0	0	0	0	0	0	0	0	
20210101_01:20	8	0	0	0	0	0	0	0	0	
20210101_01:25	8	0	0	0	0	0	0	0	0	
20210101_01:30	8	0	0	0	0	0	0	0	0	
20210101_01:35	8	0	0	0	0	0	0	0	0	
20210101_01:40	8	0	0	0	0	0	0	0	0	
20210101_01:45	8	0	0	0	0	0	0	0	0	
20210101_01:50	8	0	0	0	0	0	0	0	0	
20210101_01:55	8	0	0	0	0	0	0	0	0	
20210101_02:00	8	0	0	0	0	0	0	0	0	
20210101_02:05	8	0	0	0	0	0	0	0	0	
20210101_02:10	8	0	0	0	0	0	0	0	0	
20210101_02:15	8	0	0	0	0	0	0	0	0	
20210101_02:20	8	0	0	0	0	0	0	0	0	
20210101_02:25	8	0	0	0	0	0	0	0	0	
20210101_02:30	8	0	0	0	0	0	0	0	0	
20210101_02:35	8	0	0	0	0	0	0	0	0	
20210101_02:40	8	0	0	0	0	0	0	0	0	
20210101_02:45	8	0	0	0	0	0	0	0	0	
20210101_02:50	8	0	0	0	0	0	0	0	0	
20210101_02:55	8	0	0	0	0	0	0	0	0	
20210101_03:00	8	0	0	0	0	0	0	0	0	
20210101_03:05	8	0	0	0	0	0	0	0	0	
20210101_03:10	8	0	0	0	0	0	0	0	0	
20210101_03:15	8	0	0	0	0	0	0	0	0	
20210101_03:20	8	0	0	0	0	0	0	0	0	
20210101_03:25	8	0	0	0	0	0	0	0	0	
20210101_03:30	8	0	0	0	0	0	0	0	0	
20210101_03:35	8	0	0	0	0	0	0	0	0	
20210101_03:40	8	0	0	0	0	0	0	0	0	
20210101_03:45	8	0	0	0	0	0	0	0	0	
20210101_03:50	8	0	0	0	0	0	0	0	0	
20210101_03:55	8	0	0	0	0	0	0	0	0	
20210101_04:00	8	0	0	0	0	0	0	0	0	
20210101_04:05	8	0	0	0	0	0	0	0	0	
20210101_04:10	8	0	0	0	0	0	0	0	0	
20210101_04:15	8	0	0	0	0	0	0	0	0	
20210101_04:20	8	0	0	0	0	0	0	0	0	
20210101_04:25	8	0	0	0	0	0	0	0	0	
20210101_04:30	8	0	0	0	0	0	0	0	0	
20210101_04:35	8	0	0	0	0	0	0	0	0	
20210101_04:40	8	0	0	0	0	0	0	0	0	
20210101_04:45	8	0	0	0	0	0	0	0	0	
20210101_04:50	8	0	0	0	0	0	0	0	0	
20210101_04:55	8	0	0	0	0	0	0	0	0	
20210101_05:00	8	0	0	0	0	0	0	0	0	
20210101_05:05	8	0	0	0	0	0	0	0	0	
20210101_05:10	8	0	0	0	0	0	0	0	0	
20210101_05:15	8	0	0	0	0	0	0	0	0	
20210101_05:20	8	0	0	0	0	0	0	0	0	
20210101_05:25	8	0	0	0	0	0	0	0	0	
20210101_05:30	8	0	0	0	0	0	0	0	0	
20210101_05:35	8	0	0	0	0	0	0	0	0	
20210101_05:40	8	0	0	0	0	0	0	0	0	
20210101_05:45	8	0	0	0	0	0	0	0	0	
20210101_05:50	8	0	0	0	0	0	0	0	0	
20210101_05:55	8	0	0	0	0	0	0	0	0	
20210101_06:00	8	0	0	0	0	0	0	0	0	
20210101_06:05	8	0	0	0	0	0	0	0	0	
20210101_06:10	8	0	0	0	0	0	0	0	0	
20210101_06:15	8	0	0	0	0	0	0	0	0	
20210101_06:20	8	0	0	0	0	0	0	0	0	
20210101_06:25	8	0	0	0	0	0	0	0	0	
20210101_06:30	8	0	0	0	0	0	0	0	0	
20210101_06:35	8	0	0	0	0	0	0	0	0	
20210101_06:40	8	0	0	0	0	0	0	0	0	
20210101_06:45	8	0	0	0	0	0	0	0	0	
20210101_06:50	8	0	0	0	0	0	0	0	0	
20210101_06:55	8	0	0	0	0	0	0	0	0	
20210101_07:00	8	0	0	0	0	0	0	0	0	
20210101_07:05	8	0	0	0	0	0	0	0	0	
20210101_07:10	8	0	0	0	0	0	0	0	0	
20210101_07:15	8	0	0	0	0	0	0	0	0	
20210101_07:20	8	0	0	0	0	0	0	0	0	
20210101_07:25	8	0	0	0	0	0	0	0	0	
20210101_07:30	8	0	0	0	0	0	0	0	0	
20210101_07:35	8	0	0	0	0	0	0	0	0	
20210101_07:40	8	0	0	0	0	0	0	0	0	
20210101_07:45	8	0	0	0	0	0	0	0	0	
20210101_07:50	8	0	0	0	0	0	0	0	0	
20210101_07:55	8	0	0	0	0	0	0	0	0	
20210101_08:00	8	0	0	0	0	0	0	0	0	
20210101_08:05	8	0	0	0	0	0	0	0	0	
20210101_08:10	8	0	0	0	0	0	0	0	0	
20210101_08:15	8	0	0	0	0	0	0	0	0	
20210101_08:20	8	0	0	0	0	0	0	0	0	
20210101_08:25	8	0	0	0	0	0	0	0	0	
20210101_08:30	8	0	0	0	0	0	0	0	0	
20210101_08:35	8	0	0	0	0	0	0	0	0	
20210101_08:40	8	0	0	0	0	0	0	0	0	
20210101_08:45	8	0	0	0	0	0	0	0	0	
20210101_08:50	8	0	0	0	0	0	0	0	0	
20210101_08:55	8	0	0	0	0	0	0	0	0	
20210101_09:00	8	0	0	0	0	0	0	0	0	
20210101_09:05	8	0	0	0	0	0	0	0	0	
20210101_09:10	8	0	0	0	0	0	0	0	0	
20210101_09:15	8	0	0	0	0	0	0	0	0	
20210101_09:20	8	0	0	0	0	0	0	0	0	
20210101_09:25	8	0	0	0	0	0	0	0	0	
20210101_09:30	8	0	0	0	0	0	0	0	0	
20210101_09:35	8	0	0	0	0	0	0	0	0	
20210101_09:40	8	0	0	0	0	0	0	0	0	
20210101_09:45	8	0	0	0	0	0	0	0	0	
20210101_09:50	8	0	0	0	0	0	0	0	0	
20210101_09:55	8	0	0	0	0	0	0	0	0	
20210101_10:00	8	0	0	0	0	0	0	0	0	
20210101_10:05	8	0	0	0	0	0	0	0	0	
20210101_10:10	8	0	0	0	0	0	0	0	0	
20210101_10:15	8	0	0	0	0	0	0	0	0	
20210101_10:20	8	0	0	0	0	0	0	0	0	
20210101_10:25	8	0	0	0	0	0	0	0	0	
20210101_10:30	8	0	0	0	0	0	0	0	0	
20210101_10:35	8	0	0	0	0	0	0	0	0	
20210101_10:40	8	0	0	0	0	0	0	0	0	
20210101_10:45	8	0	0	0	0	0	0	0	0	
20210101_10:50	8	0	0	0	0	0	0	0	0	
20210101_10:55	8	0	0	0	0	0	0	0	0	
20210101_11:00	8	0	0	0	0	0	0	0	0	
20210101_11:05	8	0	0	0	0	0	0	0	0	
20210101_11:10	8	0	0	0	0	0	0	0	0	
20210101_11:15	8	0	0	0	0	0	0	0	0	
20210101_11:20	8	0	0	0	0	0	0	0	0	
20210101_11:25	8	0	0	0	0	0	0	0	0	
20210101_11:30	8	0	0	0	0	0	0	0	0	
20210101_11:35	8	0	0	0	0	0	0	0	0	
20210101_11:40	8	0	0	0	0	0	0	0	0	
20210101_11:45	8	0	0	0	0	0	0	0	0	
20210101_11:50	8	0	0	0	0	0	0	0	0	
20210101_11:55	8	0	0	0	0	0	0	0	0	
20210101_12:00	8	0	0	0	0	0	0	0	0	
20210101_12:05	8	0	0	0	0	0	0	0	0	
20210101_12:10	8	0	0	0	0	0	0	0	0	
20210101_12:15	8	0	0	0	0	0	0	0	0	
20210101_12:20	8	0	0	0	0	0	0	0	0	
20210101_12:25	8	0	0	0	0	0	0	0	0	
20210101_12:30	8	0	0	0	0	0	0	0	0	
20210101_12:35	8	0	0	0	0	0	0	0	0	
20210101_12:40	8	0	0	0	0	0	0	0	0	
20210101_12:45	8	0	0	0	0	0	0	0	0	
20210101_12:50	8	0	0	0	0	0	0	0	0	
20210101_12:55	8	0	0	0	0	0	0	0	0	
20210101_13:00	8	0	0	0	0	0	0	0	0	
20210101_13:05	8	0	0	0	0	0	0	0	0	
20210101_13:10	8	0	0	0	0	0	0	0	0	
20210101_13:15	8	0	0	0	0	0	0	0	0	
20210101_13:20	8	0	0	0	0	0	0	0	0	
20210101_13:25	8	0	0	0	0	0	0	0	0	
20210101_13:30	8	0	0	0	0	0	0	0	0	
20210101_13:35	8	0	0	0	0	0	0	0	0	
20210101_13:40	8	0	0	0	0	0	0	0	0	
20210101_13:45	8	0	0	0	0	0	0	0	0	
20210101_13:50	8	0	0	0	0	0	0	0	0	
20210101_13:55	8	0	0	0	0	0	0	0	0	
20210101_14:00	8	0	0	0	0	0	0	0	0	
20210101_14:05	8	0	0	0	0	0	0	0	0	
20210101_14:10	8	0	0	0	0	0	0	0	0	
20210101_14:15	8	0	0	0	0	0	0	0	0	
20210101_14:20	8	0	0	0	0	0	0	0	0	
20210101_14:25	8	0	0	0	0	0	0	0	0	
20210101_14:30	8	0	0	0	0	0	0	0	0	
20210101_14:35	8	0	0	0	0	0	0	0	0	
