PAG,Record Time, Retrieval Time, Node ID, PageNum
SLG,Record Time, Retrieval Time, Node ID, StartLogging,LogInterval,Jitter,SubLogInterval,Wake Up Block
SNS,Record Time, Retrieval Time, Node ID, SensorNum, MainLogCount, SecondaryLogCount, CountToFirstLog, LoggingFlags
BAS,Record Time, Retrieval Time, Node ID, CombinedCISandWktCIS, RXWait, Baseline 1, Baseline 2, ...
TIM,Record Time, Retrieval Time, Node ID
BAT,Record Time, Retrieval Time, Node ID, UsedPercentage %, Volts V
SSP,Record Time, Retrieval Time, Node ID,SoundSpeed mps
HRT,Record Time, Retrieval Time, Node ID,Temperature Deg C
BSL,Record Time, Retrieval Time, Node ID, RangeNode, RangeAddress, RangeMilliSeconds ms, TAT ms
PRS,Record Time, Retrieval Time, Node ID,Pressure Kpa, Temperature Deg C
INC,Record Time, Retrieval Time, Node ID, Pitch(Rads), Roll(Rads)
# 
# Data
PAG,2016/03/28 12:32:31,2016/04/03 11:23:21,4,1
SLG,2016/03/28 12:32:31,2016/04/03 11:23:21,4,28/03/2016 13:15:00,31.01:15:00,32.08:04:03,32.08:03:05,55
SNS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,2,1,0,0,0000
SNS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,3,1,0,0,0001
SNS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,4,10,0,0,0000
SNS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,9,100,0,0,0000
SNS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,10,1,0,0,0000
SNS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,19,1,0,0,FFFE
BAS,2016/03/28 12:32:31,2016/04/03 11:23:21,4,0106,3600,2301,2302,2303,2305
TIM,2016/03/28 13:15:00,2016/04/03 11:23:21,4
BAT,2016/03/28 13:15:00,2016/04/03 11:23:21,4,19,13.9
SSP,2016/03/28 13:15:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 13:15:00,2016/04/03 11:23:21,4,20.388559
BSL,2016/03/28 13:15:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 13:15:00,2016/04/03 11:23:21,4,2,2302,0.000,160
BSL,2016/03/28 13:15:00,2016/04/03 11:23:21,4,3,2303,0.000,120
BSL,2016/03/28 13:15:00,2016/04/03 11:23:21,4,5,2305,0.000,280
PRS,2016/03/28 13:15:00,2016/04/03 11:23:21,4,105.261,20.15
INC,2016/03/28 13:15:00,2016/04/03 11:23:21,4,-0.002,1.570
TIM,2016/03/28 14:30:00,2016/04/03 11:23:21,4
SSP,2016/03/28 14:30:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 14:30:00,2016/04/03 11:23:21,4,20.350546
BSL,2016/03/28 14:30:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 14:30:00,2016/04/03 11:23:21,4,2,2302,0.000,160
BSL,2016/03/28 14:30:00,2016/04/03 11:23:21,4,3,2303,0.000,120
BSL,2016/03/28 14:30:00,2016/04/03 11:23:21,4,5,2305,0.000,280
PRS,2016/03/28 14:30:00,2016/04/03 11:23:21,4,105.108,20.16
TIM,2016/03/28 15:45:00,2016/04/03 11:23:21,4
SSP,2016/03/28 15:45:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 15:45:00,2016/04/03 11:23:21,4,20.343384
BSL,2016/03/28 15:45:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 15:45:00,2016/04/03 11:23:21,4,2,2302,0.000,160
BSL,2016/03/28 15:45:00,2016/04/03 11:23:21,4,3,2303,0.000,120
BSL,2016/03/28 15:45:00,2016/04/03 11:23:21,4,5,2305,0.000,280
PRS,2016/03/28 15:45:00,2016/04/03 11:23:21,4,105.463,20.14
TIM,2016/03/28 17:00:00,2016/04/03 11:23:21,4
SSP,2016/03/28 17:00:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 17:00:00,2016/04/03 11:23:21,4,20.405973
BSL,2016/03/28 17:00:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 17:00:00,2016/04/03 11:23:21,4,2,2302,0.000,160
BSL,2016/03/28 17:00:00,2016/04/03 11:23:21,4,3,2303,0.000,120
BSL,2016/03/28 17:00:00,2016/04/03 11:23:21,4,5,2305,0.000,280
PRS,2016/03/28 17:00:00,2016/04/03 11:23:21,4,105.320,20.20
TIM,2016/03/28 18:15:00,2016/04/03 11:23:21,4
SSP,2016/03/28 18:15:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 18:15:00,2016/04/03 11:23:21,4,20.474878
BSL,2016/03/28 18:15:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 18:15:00,2016/04/03 11:23:21,4,2,2302,0.000,160
BSL,2016/03/28 18:15:00,2016/04/03 11:23:21,4,3,2303,0.000,120
BSL,2016/03/28 18:15:00,2016/04/03 11:23:21,4,5,2305,0.000,280
PRS,2016/03/28 18:15:00,2016/04/03 11:23:21,4,105.336,20.26
TIM,2016/03/28 19:30:00,2016/04/03 11:23:21,4
SSP,2016/03/28 19:30:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 19:30:00,2016/04/03 11:23:21,4,20.532850
BSL,2016/03/28 19:30:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 19:30:00,2016/04/03 11:23:21,4,2,2302,0.000,160
BSL,2016/03/28 19:30:00,2016/04/03 11:23:21,4,3,2303,0.000,120
BSL,2016/03/28 19:30:00,2016/04/03 11:23:21,4,5,2305,0.000,280
PRS,2016/03/28 19:30:00,2016/04/03 11:23:21,4,105.266,20.33
TIM,2016/03/28 20:45:00,2016/04/03 11:23:21,4
SSP,2016/03/28 20:45:00,2016/04/03 11:23:21,4,9996.000
HRT,2016/03/28 20:45:00,2016/04/03 11:23:21,4,20.582520
BSL,2016/03/28 20:45:00,2016/04/03 11:23:21,4,1,2301,0.000,80
BSL,2016/03/28 20:45:00,2016/04/03 11:23:21,4,2,2302,0.000,160
