PAG,Record Time, Retrieval Time, Node ID, PageNum
SLG,Record Time, Retrieval Time, Node ID, StartLogging,LogInterval,Jitter,SubLogInterval,Wake Up Block
SNS,Record Time, Retrieval Time, Node ID, SensorNum, MainLogCount, SecondaryLogCount, CountToFirstLog, LoggingFlags
BAS,Record Time, Retrieval Time, Node ID, CombinedCISandWktCIS, RXWait, Baseline 1, Baseline 2, ...
TIM,Record Time, Retrieval Time, Node ID
BAT,Record Time, Retrieval Time, Node ID, UsedPercentage %, Volts V
SSP,Record Time, Retrieval Time, Node ID,SoundSpeed mps
HRT,Record Time, Retrieval Time, Node ID,Temperature Deg C
BSL,Record Time, Retrieval Time, Node ID, RangeNode, RangeAddress, RangeMilliSeconds ms, TAT ms
PRS,Record Time, Retrieval Time, Node ID,Pressure Kpa, Temperature Deg C
INC,Record Time, Retrieval Time, Node ID, Pitch(Rads), Roll(Rads)
# 
# Data
PAG,2016/03/28 14:31:32,2016/04/03 11:28:36,5,1
SLG,2016/03/28 14:31:32,2016/04/03 11:28:36,5,28/03/2016 14:45:00,31.01:15:00,32.08:04:03,32.08:03:05,55
SNS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,2,1,0,0,0000
SNS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,3,1,0,0,0001
SNS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,4,10,0,0,0000
SNS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,9,100,0,0,0000
SNS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,10,1,0,0,0000
SNS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,19,1,0,0,FFFE
BAS,2016/03/28 14:31:32,2016/04/03 11:28:36,5,0106,3600,2301,2302,2303,2304
TIM,2016/03/28 14:45:00,2016/04/03 11:28:36,5
BAT,2016/03/28 14:45:00,2016/04/03 11:28:36,5,22,13.9
SSP,2016/03/28 14:45:00,2016/04/03 11:28:36,5,9996.000
HRT,2016/03/28 14:45:00,2016/04/03 11:28:36,5,20.261639
BSL,2016/03/28 14:45:00,2016/04/03 11:28:36,5,1,2301,0.000,80
BSL,2016/03/28 14:45:00,2016/04/03 11:28:36,5,2,2302,0.000,160
BSL,2016/03/28 14:45:00,2016/04/03 11:28:36,5,3,2303,0.000,120
BSL,2016/03/28 14:45:00,2016/04/03 11:28:36,5,4,2304,0.000,200
PRS,2016/03/28 14:45:00,2016/04/03 11:28:36,5,105.511,20.03
INC,2016/03/28 14:45:00,2016/04/03 11:28:36,5,1.153,-0.408
TIM,2016/03/28 16:00:00,2016/04/03 11:28:36,5
SSP,2016/03/28 16:00:00,2016/04/03 11:28:36,5,9996.000
HRT,2016/03/28 16:00:00,2016/04/03 11:28:36,5,20.508404
BSL,2016/03/28 16:00:00,2016/04/03 11:28:36,5,1,2301,0.000,80
BSL,2016/03/28 16:00:00,2016/04/03 11:28:36,5,2,2302,0.000,160
BSL,2016/03/28 16:00:00,2016/04/03 11:28:36,5,3,2303,0.000,120
BSL,2016/03/28 16:00:00,2016/04/03 11:28:36,5,4,2304,0.000,200
PRS,2016/03/28 16:00:00,2016/04/03 11:28:36,5,105.126,20.32
TIM,2016/03/28 17:15:00,2016/04/03 11:28:36,5
SSP,2016/03/28 17:15:00,2016/04/03 11:28:36,5,9996.000
HRT,2016/03/28 17:15:00,2016/04/03 11:28:36,5,20.631454
BSL,2016/03/28 17:15:00,2016/04/03 11:28:36,5,1,2301,0.000,80
BSL,2016/03/28 17:15:00,2016/04/03 11:28:36,5,2,2302,0.000,160
BSL,2016/03/28 17:15:00,2016/04/03 11:28:36,5,3,2303,0.000,120
BSL,2016/03/28 17:15:00,2016/04/03 11:28:36,5,4,2304,0.000,200
PRS,2016/03/28 17:15:00,2016/04/03 11:28:36,5,105.283,20.46
TIM,2016/03/28 18:30:00,2016/04/03 11:28:36,5
SSP,2016/03/28 18:30:00,2016/04/03 11:28:36,5,9996.000
HRT,2016/03/28 18:30:00,2016/04/03 11:28:36,5,20.697878
BSL,2016/03/28 18:30:00,2016/04/03 11:28:36,5,1,2301,0.000,80
BSL,2016/03/28 18:30:00,2016/04/03 11:28:36,5,2,2302,0.000,160
BSL,2016/03/28 18:30:00,2016/04/03 11:28:36,5,3,2303,0.000,120
BSL,2016/03/28 18:30:00,2016/04/03 11:28:36,5,4,2304,0.000,200
PRS,2016/03/28 18:30:00,2016/04/03 11:28:36,5,105.548,20.53
TIM,2016/03/28 19:45:00,2016/04/03 11:28:36,5
SSP,2016/03/28 19:45:00,2016/04/03 11:28:36,5,9996.000
