Origin Time;Ml;Zone;Depth;Latitude;Longitude;FM;Discrepancies;Strike;Dip;Rake;P_Azm;P_PLNG;T_Azm;T_PLNG
2020/01/01 14:24:43;1.5;0.5 km N from Monte Centenari (CT);3.77;37.7396;15.0344;8;;35;55;-160;249;37;348;12
2020/01/01 14:24:43;1.5;0.5 km N from Monte Centenari (CT);3.77;37.7396;15.0344;8;;80;35;-90;170;80;350;10
2020/01/06 13:14:07;1.9;1.5 km E from Ragalna (CT);0.8;37.64;14.9581;10;;280;90;-120;163;38;37;38
2020/01/06 13:14:07;1.9;1.5 km E from Ragalna (CT);0.8;37.64;14.9581;10;;235;85;-40;184;31;289;23
2020/01/06 13:14:07;1.9;1.5 km E from Ragalna (CT);0.8;37.64;14.9581;10;;320;75;-100;216;59;58;29
2020/01/10 23:09:07;1.2;1.7 km NW from Monte Centenari (CT);3.47;37.7488;15.026;7;;335;5;-180;160;45;330;45
2020/01/11 23:52:48;1.3;1.3 km SE from Monte Fontane (CT);5.31;37.7311;15.0956;8;;80;20;-10;70;45;287;38
2020/01/13 16:55:06;1.8;1.4 km SW from Monte Scorsone (CT);3.31;37.7419;15.0552;13;;20;65;150;72;1;341;38
2020/01/13 16:55:06;1.8;1.4 km SW from Monte Scorsone (CT);3.31;37.7419;15.0552;13;;125;30;0;98;38;332;38
2020/01/13 17:39:52;1.3;1.4 km E from Monte Centenari (CT);3.78;37.7375;15.0512;8;;115;65;0;73;17;337;17
2020/01/13 19:21:37;1.3;1.6 km NE from Monte Centenari (CT);3.42;37.7431;15.0515;8;;145;30;-10;125;42;358;33
2020/01/14 21:16:55;1.4;1.9 km NE from Monte Centenari (CT);6.26;37.7495;15.047;9;;10;80;70;117;32;257;51
2020/01/15 05:31:03;1.5;1.6 km SW from Monte Scorsone (CT);4.9;37.7379;15.057;7;;135;40;0;102;33;348;33
2020/01/15 07:31:52;1.8;1.3 km SW from Monte Scorsone (CT);4.62;37.7387;15.0611;15;;135;45;-10;104;36;355;24
2020/01/15 11:48:46;2.7;1.2 km SE from Lavinaio (CT);-1.58;37.6264;15.112;13;;155;35;40;100;19;339;57
2020/01/15 19:48:49;1.3;1.7 km SW from Monte Arcimis (CT);4.15;37.6805;15.052;13;;250;75;140;306;15;204;38
2020/01/15 23:09:16;1.3;1.0 km NE from Monte Zoccolaro (CT);7.34;37.7201;15.068;8;;15;65;100;98;19;305;68
