name,lat,lon
Catania,37.5021,15.0874
Nicolosi,37.6128,15.0338
Zafferana Etnea,37.692,15.1079
Bronte,37.7874,14.8354
Randazzo,37.8783,14.946
Linguaglossa,37.8432,15.1421
Adrano,37.6614,14.8343
Timpe Fault System,37.7478,15.1307
Pernicana Fault,,37.806893078482744,, 15.092954747860935,,15.0929547478609
Ragalna Fault,37.676,14.921
Santa Venerina Fault,37.668,15.152
Voragine,37.7495,14.9951
Bocca Nuova,37.7491,14.9924
NE Crater,37.7528,14.9967
SE Crater,37.7456,14.9992
New SE Crater,37.7453,15.0024
Ellittico Caldera,37.7562,14.9835
Monti Rossi,37.6197,15.0125
2001 Eruption,37.7055,14.9927
2002–03 Eruption,37.802,15.032
1991–93 Lava Flow,37.72,15.031
2004–05 Eruption,37.743,15.031
Rifugio Sapienza,37.6983,14.9996
Piano Provenzana,37.796,15.042
Valle del Bove,37.73,15.055
Pizzi Deneri,37.768,15.009
Taormina,37.8513,15.288
Acireale,37.6119,15.1649
Paternò,37.5687,14.9015
Biancavilla,37.6407,14.8673
Maletto,37.828,14.867
Castiglione di Sicilia,37.8828,15.1216
Milo,37.719,15.117
Pedara,37.6155,15.0577
Mascali,37.7577,15.1911
Viagrande,37.609,15.097
Trecastagni,37.6182,15.0782
Cesarò,37.8444842683727,14.7154562161787
Sant'Alfio,37.742,15.139
Belpasso,37.593,14.9779
Giarre,37.7271,15.1843
NE Rift Zone,37.784,15.011
S Rift Zone,37.7037,14.9962
Fiandaca Fault,37.648,15.118
Acicatena Fault,37.587,15.138
Moscarello Fault,37.703,15.154
Trecastagni Fault,37.593,15.086
Sant'Leonardello Fault,37.685,15.183
Valle del Leone,37.759,15.015
Monti Sartorius,37.774,15.058
Monti Silvestri Superiore,37.699,15.0053
Trifoglietto II Caldera,37.7397,15.0406
Monti Calcarazzi,37.7073,15.0064
Monte Centenari,37.732,15.034
Monte Frumento Supino,37.732,14.995
Monte Spagnolo,37.784,14.953
Cisternazza,37.724,15.008
1669 Lava Flow Field,37.511,15.054
1928 Eruption,37.773,15.16
1981 NW Eruption,37.96,14.974
1971 Eruption,37.752,15.087
2013 Paroxysm Series,37.744,15.003
2014–15 Eruption,37.7262,15.0349
2006 Eruption,37.748,15.002
2018 Fleri Rupture,37.658,15.099
Rifugio Citelli,37.763,15.059
Torre del Filosofo,37.733,15
Laghetti di Gurrida,37.854,14.9
Osservatorio Etneo,37.513603092346,,,, 15.082073676033758,
Monte Zoccolaro,37.711,15.056
Schiena dell'Asino,37.708,15.043
Punta Lucia,37.76,14.987
Monte Simone,37.751917,15.037379
Serra delle Concazze,37.7561140283415,15.0427189983979
