station,x,y,elevation,est. elevation,d_elevation,%error,type,x_model,y_model
MGL,492485,4175572,1523.938103,1475.97302246094,47.96508053906,3.14744282885484,TILT,42485,50572
MGT,493570.309735367,4179633.36435222,1591,1564.36206054688,26.63793945312,1.67428909196229,TILT,43570.309735367,54633.3643522202
MEG,493577,4179672,1605.339994,1564.90197753906,40.4380164609399,2.51896897928651,TILT,43577,54672
MLT,493924.913409954,4182739.63827835,1511,1488.78503417969,22.21496582031,1.47021613635407,TILT,43924.913409954,57739.6382783498
MMT,493939,4182689,1550.798265,1504.32897949219,46.4692855078099,2.9964752061294,TILT,43939,57689
EC1,494270.234676527,4172865.07394683,1480,1465.0849609375,14.9150390625,1.00777290962838,TILT,44270.234676527,47865.0739468299
MSP,495511,4186147,1470.80514,1417.99304199219,52.8120980078099,3.59069305454086,TILT,45511,61147
MSC,496301.373900216,4181074.00699215,1678,1820.79296875,-142.79296875,-8.50971208283671,TILT,46301.373900216,56074.0069921501
MDZ,496547,4172161,1694.454261,1649.06005859375,45.3942024062501,2.6789865888419,TILT,46547,47161
PLC,498740,4179753,2922.456303,2911.94189453125,10.5144084687499,0.359779835132404,TILT,48740,54753
ECP,498895,4177418,3006.023599,3006.7919921875,-0.768393187499896,-0.0255617816092832,TILT,48895,52418
INT,500440.739312236,4173084.99101846,2000,2002.95104980469,-2.95104980469,-0.1475524902345,TILT,50440.739312236,48084.9910184601
DAM,500831,4186121,1744.627451,1705.19201660156,39.4354343984401,2.26039286357876,TILT,50831,61121
PDN,501480,4179842,2824.876597,2816.39697265625,8.47962434374995,0.300176806050758,TILT,51480,54842
SPC,501851.52782883,4171199.09883177,1659,1615.82800292969,43.17199707031,2.60229035987402,TILT,51851.52782883,46199.09883177
MNR,502273,4184921,1945.430721,1899.51696777344,45.9137532265599,2.36008163801172,TILT,52273,59921
MCN,502921,4182650,1908.14233,1868.82995605469,39.3123739453099,2.06024327049596,TILT,52921,57650
CUAD,503800.063550222,4151895.40895906,141,141.848205566406,-0.848205566405994,-0.601564231493613,TILT,53800.063550222,26895.40895906
CDV,503924,4172470,1506.525839,1462.93896484375,43.5868741562499,2.8932045523482,TILT,53924,47470
MAS,504640,4159120,450,448.67919921875,1.32080078125,0.293511284722222,TILT,54640,34120
ECIT,505284.961409282,4179188.76010177,1740,1662.22998046875,77.77001953125,4.46954135237069,TILT,55284.961409282,54188.7601017701
ECOR,506161.635879278,4184736.77380879,1450,1440.40100097656,9.59899902344,0.661999932651035,TILT,56161.635879278,59736.7738087899
EC10,507276,4171590,1017,1015.59002685547,1.40997314453,0.138640427190757,TILT,57276,46590
FAR,507317.550886287,4171645.91690406,1017,1010.06402587891,6.93597412109,0.682003355072763,TILT,57317.550886287,46645.9169040602
CBD,507617,4181490,1445,1407.68701171875,37.31298828125,2.58221372188581,TILT,57617,56490
DRUV,489692.5,4177729,1251.572593,1208.40197753906,43.1706154609401,3.44930974858285,STRAIN,39692.5,52729
DEGI,493605.6,4179677.7,1608.295884,1569.25,39.0458839999999,2.42777988729839,STRAIN,43605.6,54677.7000000002
DMSC,495249.5,4180514,1704.474847,1667.92895507812,36.54589192188,2.14411447527098,STRAIN,45249.5,55514
DPDN,501478,4179831,2823.431697,2818.15991210938,5.27178489061998,0.186715509931459,STRAIN,51478,54831
CAGR,455875.640905441,4163772.11927152,548,479.119384765625,68.880615234375,12.56945533474,SEISMIC,5875.64090544102,38772.1192715201
GALF,462098.875166389,4173726.70468027,740,690.307678222656,49.692321777344,6.71517861856,SEISMIC,12098.875166389,48726.7046802701
ME02,464017.689738345,4209222.90561656,677,537.307006835938,139.692993164062,20.63412011286,SEISMIC,14017.689738345,84222.90561656
MNO,473635.755326478,4198090.8479921,1830,1770.08203125,59.91796875,3.27420594262295,SEISMIC,23635.755326478,73090.8479920998
ECNV,474401.072860265,4161475.22707887,484,372.909912109375,111.090087890625,22.952497498063,SEISMIC,24401.072860265,36475.2270788699
MCPD,476333.380224381,4219163.82821004,199,127.449798583984,71.550201416016,35.9548750834251,SEISMIC,26333.380224381,94163.82821004
ME07,483336.638470528,4214708.28615405,739,658.797485351562,80.202514648438,10.8528436601405,SEISMIC,33336.638470528,89708.2861540504
ESCV,484142.975996214,4178092.83987504,640,668.542114257812,-28.542114257812,-4.45970535278313,SEISMIC,34142.975996214,53092.8398750401
EPZF,487678.388485219,4185853.18234523,1140,973.165771484375,166.834228515625,14.634581448739,SEISMIC,37678.388485219,60853.1823452301
HLNI,488486.341911051,4133708.08046687,146,65.8820724487305,80.1179275512695,54.8752928433353,SEISMIC,38486.341911051,8708.08046687022
MUCR,488592.547689797,4210261.09205224,1042,974.454711914062,67.545288085938,6.48227332878483,SEISMIC,38592.547689797,85261.0920522399
ESML,489410.186769324,4163661.36317158,417,381.147308349609,35.852691650391,8.59776778186835,SEISMIC,39410.186769324,38661.3631715798
ECZM,491188.173873222,4175863.35251996,1391,1301.18298339844,89.81701660156,6.4570105392926,SEISMIC,41188.173873222,50863.3525199601
ME15,491240.57286604,4224681.86944705,116,111.800598144531,4.19940185546901,3.62017401333535,SEISMIC,41240.57286604,99681.8694470497
ECHR,492065.092673929,4171424.59358125,1168,1151.19799804688,16.80200195312,1.43852756447945,SEISMIC,42065.092673929,46424.5935812499
LIBRI,493860.86883182,4214693.55893302,945,801.315612792969,143.684387207031,15.2046970589451,SEISMIC,43860.86883182,89693.5589330196
EMSA,495580.496169483,4150342.51430081,140,149.572204589844,-9.57220458984401,-6.83728899274572,SEISMIC,45580.496169483,25342.5143008102
ESVO,495596.458701021,4180297.71742824,1736,1699.8349609375,36.1650390625,2.08323957733295,SEISMIC,45596.458701021,55297.71742824
EMSG,495599.425689297,4185845.12839484,1435,1451.42504882812,-16.42504882812,-1.14460270579233,SEISMIC,45599.425689297,60845.1283948398
EMPL,497354.676550698,4170311.74449603,1484,1457.03796386719,26.96203613281,1.81684879601146,SEISMIC,47354.676550698,45311.7444960298
ESLN,497355.031452273,4171421.20593822,1787,1665.88098144531,121.11901855469,6.77778503383828,SEISMIC,47355.031452273,46421.20593822
ECPN,499118.935736836,4176968.16448862,3038,2942.93798828125,95.06201171875,3.12909847658822,SEISMIC,49118.935736836,51968.1644886201
EMFS,499999.999769339,4174749.17796198,2552,2516.82104492188,35.17895507812,1.37848570055329,SEISMIC,49999.999769339,49749.17796198
ECNE,500000.000140075,4180296.54122478,2946,2801.85888671875,144.14111328125,4.89277370269009,SEISMIC,50000.000140075,55296.54122478
