id,name,type,lat,lon,region,catalog_status,evaluation_mode,event_time,magnitude,magnitude_label
S1237b,S1237b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-05-20 23:37:51.098952 UTC,,Magnitude not reported
S1237a,S1237a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-05-20 23:08:41.115997 UTC,2.6,MW 2.6
S1235a,S1235a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-05-18 19:45:44.84616 UTC,2.7,MW 2.7
S1223a,S1223a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2022-05-06 09:01:56.031485 UTC,2.9,MW 2.9
S1197a,S1197a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-04-09 22:05:52.41687 UTC,3.6,MW 3.6
S1193a,S1193a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-04-05 15:37:13.105278 UTC,,Magnitude not reported
S1192a,S1192a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-04-04 23:06:52.616746 UTC,2.0,MW 2.0
T1192a,T1192a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-04-04 19:02:58.426 UTC,,Magnitude not reported
T1187a,T1187a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-30 20:03:12.767 UTC,,Magnitude not reported
T1186a,T1186a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-29 12:26:53.867 UTC,,Magnitude not reported
T1185a,T1185a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-28 11:49:27.167 UTC,,Magnitude not reported
S1184a,S1184a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-27 17:10:23.699469 UTC,,Magnitude not reported
T1181a,T1181a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-24 09:08:42.317 UTC,,Magnitude not reported
T1180a,T1180a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-23 08:10:45.91 UTC,,Magnitude not reported
T1178a,T1178a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-21 07:04:10.321 UTC,,Magnitude not reported
S1177a,S1177a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-20 07:40:49.671332 UTC,,Magnitude not reported
T1176a,T1176a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-19 05:33:21.821 UTC,,Magnitude not reported
S1175a,S1175a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-18 12:10:04.677241 UTC,,Magnitude not reported
T1175b,T1175b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-18 05:06:52.471 UTC,,Magnitude not reported
T1175a,T1175a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-17 23:03:28.621 UTC,,Magnitude not reported
T1174a,T1174a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-17 04:09:16.945 UTC,,Magnitude not reported
T1173a,T1173a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-16 03:21:23.695 UTC,,Magnitude not reported
T1172a,T1172a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-15 02:59:13.295 UTC,,Magnitude not reported
S1171c,S1171c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-14 06:08:38.788798 UTC,2.0,MW 2.0
S1171b,S1171b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-14 05:15:37.311062 UTC,1.5,MW 1.5
S1171a,S1171a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-14 04:58:09.838975 UTC,,Magnitude not reported
T1171a,T1171a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-14 01:55:05.607 UTC,,Magnitude not reported
T1170b,T1170b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-13 04:10:41.257 UTC,,Magnitude not reported
T1170a,T1170a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-13 01:19:56.207 UTC,,Magnitude not reported
S1168a,S1168a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-11 01:47:38.342295 UTC,2.1,MW 2.1
T1167a,T1167a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-09 21:35:22.692 UTC,,Magnitude not reported
S1166b,S1166b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-09 05:56:49.21622 UTC,2.0,MW 2.0
S1165a,S1165a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-08 01:55:08.234213 UTC,1.8,MW 1.8
S1163a,S1163a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-06 02:29:13.668752 UTC,2.1,MW 2.1
T1163a,T1163a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-05 23:34:24.969 UTC,,Magnitude not reported
S1162a,S1162a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-05 02:38:29.177919 UTC,,Magnitude not reported
T1162a,T1162a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-04 22:42:56.519 UTC,,Magnitude not reported
T1161a,T1161a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-03 22:54:19.119 UTC,,Magnitude not reported
T1160a,T1160a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-02 18:12:50.619 UTC,,Magnitude not reported
S1160a,S1160a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-03-02 06:51:40.637485 UTC,1.9,MW 1.9
T1159a,T1159a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-03-01 21:27:37.427 UTC,,Magnitude not reported
S1157d,S1157d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-27 20:19:25.816702 UTC,,Magnitude not reported
T1157a,T1157a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-27 19:57:06.827 UTC,,Magnitude not reported
S1157c,S1157c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2022-02-27 04:41:25.40876 UTC,,Magnitude not reported
S1157b,S1157b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2022-02-27 02:35:12.141756 UTC,,Magnitude not reported
S1157a,S1157a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-27 01:02:36.620313 UTC,3.8,MW 3.8
S1156b,S1156b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-26 23:13:47.27946 UTC,,Magnitude not reported
T1156a,T1156a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-26 19:24:56.727 UTC,,Magnitude not reported
S1156a,S1156a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-26 19:07:56.059846 UTC,,Magnitude not reported
T1155c,T1155c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-25 22:10:01.927 UTC,,Magnitude not reported
T1155b,T1155b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-25 17:50:19.977 UTC,,Magnitude not reported
T1155a,T1155a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-25 15:00:54.427 UTC,,Magnitude not reported
T1154b,T1154b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-24 17:50:35.908 UTC,,Magnitude not reported
T1154a,T1154a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-24 14:16:41.258 UTC,,Magnitude not reported
S1153a,S1153a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-23 21:00:32.548262 UTC,3.0,MW 3.0
T1153c,T1153c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-23 16:38:34.258 UTC,,Magnitude not reported
T1153b,T1153b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-23 14:47:10.658 UTC,,Magnitude not reported
T1153a,T1153a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-23 13:51:56.258 UTC,,Magnitude not reported
T1152a,T1152a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-22 12:59:43.217 UTC,,Magnitude not reported
S1151b,S1151b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-21 16:30:51.353286 UTC,1.8,MW 1.8
S1151a,S1151a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-21 13:37:49.474644 UTC,,Magnitude not reported
T1151a,T1151a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-21 12:23:01.067 UTC,,Magnitude not reported
T1150a,T1150a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-20 11:52:15.817 UTC,,Magnitude not reported
S1149a,S1149a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-19 17:55:32.930969 UTC,2.1,MW 2.1
T1149b,T1149b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-19 15:18:42.028 UTC,,Magnitude not reported
T1149a,T1149a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-19 10:59:34.078 UTC,,Magnitude not reported
S1148b,S1148b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-18 17:54:02.315339 UTC,,Magnitude not reported
S1148a,S1148a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-18 16:36:42.757753 UTC,1.9,MW 1.9
T1148a,T1148a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-18 10:16:25.228 UTC,,Magnitude not reported
T1147c,T1147c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-17 16:43:18.828 UTC,,Magnitude not reported
T1147b,T1147b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-17 09:45:51.578 UTC,,Magnitude not reported
T1147a,T1147a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-17 08:21:19.828 UTC,,Magnitude not reported
S1146a,S1146a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-16 13:41:14.918181 UTC,,Magnitude not reported
T1146a,T1146a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-16 08:57:09.428 UTC,,Magnitude not reported
T1145a,T1145a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-15 08:29:05.928 UTC,,Magnitude not reported
T1144b,T1144b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-14 10:59:14.682 UTC,,Magnitude not reported
S1144a,S1144a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-14 08:08:49.527418 UTC,,Magnitude not reported
T1144a,T1144a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-14 07:48:56.032 UTC,,Magnitude not reported
T1143b,T1143b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-13 10:22:22.432 UTC,,Magnitude not reported
T1143a,T1143a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-13 07:11:29.682 UTC,,Magnitude not reported
S1143a,S1143a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2022-02-13 06:37:30.057436 UTC,1.7,MW 1.7
T1142b,T1142b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-12 12:44:18.382 UTC,,Magnitude not reported
T1142a,T1142a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-12 09:25:57.282 UTC,,Magnitude not reported
T1140b,T1140b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-10 08:14:39.632 UTC,,Magnitude not reported
T1140a,T1140a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-10 05:01:41.282 UTC,,Magnitude not reported
T1139b,T1139b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-09 07:33:52.408 UTC,,Magnitude not reported
T1139a,T1139a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2022-02-09 04:37:18.008 UTC,,Magnitude not reported
