name,body,kind,type,category,theme,color,lat,lon,lod,dimension,description
Apārangi Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,6.7,289.38,2,,Apārangi Planitia is a plain or lowland region on Mercury
Borealis Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,67.3,327.4,2,,Borealis Planitia is a plain or lowland region on Mercury
Budh Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,19.52,150.46,2,,Budh Planitia is a plain or lowland region on Mercury
Caloris Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,31.65,198.02,1,,Caloris Planitia is a plain or lowland region on Mercury
Lugus Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,-6.24,98.66,2,,Lugus Planitia is a plain or lowland region on Mercury
Mearcair Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,31.4,227.9,2,,Mearcair Planitia is a plain or lowland region on Mercury
Odin Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,23.6,169.86,2,,Odin Planitia is a plain or lowland region on Mercury
Otaared Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,18.26,337.61,2,,Otaared Planitia is a plain or lowland region on Mercury
Papsukkal Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,-16.25,271.63,3,,Papsukkal Planitia is a plain or lowland region on Mercury
Sihtu Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,-2.82,55.57,3,,Sihtu Planitia is a plain or lowland region on Mercury
Sobkou Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,39.0,128.02,2,,Sobkou Planitia is a plain or lowland region on Mercury
Stilbon Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,57.54,209.61,3,,Stilbon Planitia is a plain or lowland region on Mercury
Suisei Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,60.88,147.81,2,,Suisei Planitia is a plain or lowland region on Mercury
Tir Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,-1.04,176.69,2,,Tir Planitia is a plain or lowland region on Mercury
Turms Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,-31.05,350.81,3,,Turms Planitia is a plain or lowland region on Mercury
Utaridi Planitia,Mercury,surface,Planitia,surface,surface,#34d7d1,-65.5,270.17,3,,Utaridi Planitia is a plain or lowland region on Mercury
Catuilla Planum,Mercury,surface,Planum,surface,surface,#34d7d1,-8.78,245.78,3,,Catuilla Planum is a planum on Mercury
Rembrandt,Mercury,surface,Crater,crater,crater,#ff5faa,-32.89,272.13,1,,Rembrandt is an impact crater 716 km across on Mercury
Beethoven,Mercury,surface,Crater,crater,crater,#ff5faa,-20.86,124.21,1,,Beethoven is an impact crater 630 km across on Mercury
Acadia Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,8.17,329.0,4,,Acadia Rupes is a scarp or cliff on Mercury
Adventure Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-65.48,65.3,4,,Adventure Rupes is a scarp or cliff on Mercury
Aegaeo Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-9.19,15.28,4,,Aegaeo Rupes is a scarp or cliff on Mercury
Akademik Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,8.14,161.66,4,,Akademik Rupes is a scarp or cliff on Mercury
Alpha Crucis Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-12.48,228.31,4,,Alpha Crucis Rupēs is a scarp or cliff on Mercury
Altair Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-70.48,186.49,4,,Altair Rupes is a scarp or cliff on Mercury
Alvin Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,8.3,208.72,4,,Alvin Rupes is a scarp or cliff on Mercury
Antares Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,18.06,229.42,4,,Antares Rupes is a scarp or cliff on Mercury
Arquipelago Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,7.36,229.31,4,,Arquipelago Rupēs is a scarp or cliff on Mercury
Astrea Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-20.31,244.15,4,,Astrea Rupes is a scarp or cliff on Mercury
Astrolabe Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-42.55,70.9,4,,Astrolabe Rupes is a scarp or cliff on Mercury
Baltica Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-4.48,303.48,4,,Baltica Rupes is a scarp or cliff on Mercury
Beagle Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-3.22,259.24,2,,Beagle Rupes is a scarp or cliff on Mercury
Belgica Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-50.45,296.24,4,,Belgica Rupes is a scarp or cliff on Mercury
Blossom Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-3.04,270.15,4,,Blossom Rupes is a scarp or cliff on Mercury
Calypso Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,19.53,316.48,4,,Calypso Rupes is a scarp or cliff on Mercury
Carnegie Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,58.52,53.25,4,,Carnegie Rupes is a scarp or cliff on Mercury
Carrasco Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-9.66,218.97,4,,Carrasco Rupēs is a scarp or cliff on Mercury
Challenger Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-12.58,109.92,4,,Challenger Rupes is a scarp or cliff on Mercury
Chikyu Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-53.82,259.62,4,,Chikyu Rupes is a scarp or cliff on Mercury
Darshak Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-14.5,47.42,4,,Darshak Rupēs is a scarp or cliff on Mercury
Discovery Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-54.7,37.24,1,,Discovery Rupes is a scarp or cliff on Mercury
Duyfken Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-20.88,131.93,4,,Duyfken Rupes is a scarp or cliff on Mercury
Eltanin Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-74.99,269.4,4,,Eltanin Rupes is a scarp or cliff on Mercury
Endeavour Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,38.36,31.38,4,,Endeavour Rupes is a scarp or cliff on Mercury
Endurance Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,21.6,217.81,4,,Endurance Rupes is a scarp or cliff on Mercury
Enterprise Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-36.54,283.46,4,,Enterprise Rupes is a scarp or cliff on Mercury
Fram Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-57.68,93.2,4,,Fram Rupes is a scarp or cliff on Mercury
Gjöa Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-66.89,158.5,4,,Gjöa Rupes is a scarp or cliff on Mercury
Grifo Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,7.9,354.62,4,,Grifo Rupes is a scarp or cliff on Mercury
Heemskerck Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,27.3,124.31,4,,Heemskerck Rupes is a scarp or cliff on Mercury
Hero Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-58.72,171.7,2,,Hero Rupes is a scarp or cliff on Mercury
Hesperides Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-2.98,189.55,4,,Hesperides Rupes is a scarp or cliff on Mercury
Investigator Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-25.39,223.96,4,,Investigator Rupes is a scarp or cliff on Mercury
Italica Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-42.42,139.63,4,,Italica Rupes is a scarp or cliff on Mercury
Kainan Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-29.8,330.8,4,,Kainan Rupēs is a scarp or cliff on Mercury
La Dauphine Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,66.3,26.62,4,,La Dauphine Rupes is a scarp or cliff on Mercury
Lance Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-4.23,182.6,4,,Lance Rupes is a scarp or cliff on Mercury
Legend Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-17.62,345.53,4,,Legend Rupes is a scarp or cliff on Mercury
Meteor Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-47.7,345.7,4,,Meteor Rupēs is a scarp or cliff on Mercury
Mirni Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-38.54,39.01,4,,Mirni Rupes is a scarp or cliff on Mercury
Nautilus Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-28.23,293.33,4,,Nautilus Rupes is a scarp or cliff on Mercury
Palmer Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-26.07,106.28,4,,Palmer Rupes is a scarp or cliff on Mercury
Paramour Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-0.08,212.54,4,,Paramour Rupes is a scarp or cliff on Mercury
Pelagia Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,15.33,218.59,4,,Pelagia Rupes is a scarp or cliff on Mercury
Pourquoi-Pas Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-58.54,156.17,4,,Pourquoi-Pas Rupes is a scarp or cliff on Mercury
Protea Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-9.36,203.01,4,,Protea Rupes is a scarp or cliff on Mercury
Providencia Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,1.94,233.57,4,,Providencia Rupes is a scarp or cliff on Mercury
Resolution Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-63.25,50.66,4,,Resolution Rupes is a scarp or cliff on Mercury
Santa María Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,5.81,20.0,4,,Santa María Rupes is a scarp or cliff on Mercury
Selen Rupēs,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-8.11,178.92,4,,Selen Rupēs is a scarp or cliff on Mercury
Soya Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-6.47,293.37,4,,Soya Rupes is a scarp or cliff on Mercury
Tangaroa Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,1.04,173.27,4,,Tangaroa Rupes is a scarp or cliff on Mercury
Terror Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-72.06,275.69,4,,Terror Rupes is a scarp or cliff on Mercury
Unity Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,27.16,275.2,4,,Unity Rupes is a scarp or cliff on Mercury
Vejas Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,35.71,162.25,4,,Vejas Rupes is a scarp or cliff on Mercury
Victoria Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,52.71,34.16,4,,Victoria Rupes is a scarp or cliff on Mercury
Volasiga Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-36.22,146.0,4,,Volasiga Rupes is a scarp or cliff on Mercury
Vostok Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-37.88,19.6,1,,Vostok Rupes is a scarp or cliff on Mercury
Xuelong Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,57.27,182.87,4,,Xuelong Rupes is a scarp or cliff on Mercury
Yelcho Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,23.54,224.11,4,,Yelcho Rupes is a scarp or cliff on Mercury
Zapiola Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,72.36,44.02,4,,Zapiola Rupes is a scarp or cliff on Mercury
Zarya Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,-42.73,20.42,4,,Zarya Rupes is a scarp or cliff on Mercury
Zeehaen Rupes,Mercury,surface,Rupes,tectonic,tectonic,#d4965a,49.64,158.15,4,,Zeehaen Rupes is a scarp or cliff on Mercury
Antoniadi Dorsum,Mercury,surface,Dorsum,tectonic,tectonic,#d4965a,27.2,29.65,4,,Antoniadi Dorsum is a ridge on Mercury
Caloris Montes,Mercury,surface,Mons,volcanic,volcanic,#ff5849,31.46,174.15,3,,Caloris Montes is a volcanic mountain on Mercury
Schiaparelli Dorsum,Mercury,surface,Dorsum,tectonic,tectonic,#d4965a,23.26,164.3,4,,Schiaparelli Dorsum is a ridge on Mercury
Arecibo Catena,Mercury,surface,Catena,fluvial,tectonic,#2d78e0,-27.58,28.29,4,,Arecibo Catena is a catena on Mercury
Goldstone Catena,Mercury,surface,Catena,fluvial,tectonic,#2d78e0,-15.62,32.02,4,,Goldstone Catena is a catena on Mercury
Haystack Catena,Mercury,surface,Catena,fluvial,tectonic,#2d78e0,4.42,46.48,4,,Haystack Catena is a catena on Mercury
Sanai,Mercury,surface,Crater,crater,crater,#ff5faa,-13.37,6.99,4,,Sanai is an impact crater 490 km across on Mercury
Aneirin,Mercury,surface,Crater,crater,crater,#ff5faa,-27.47,2.68,4,,Aneirin is an impact crater 467 km across on Mercury
Angkor Vallis,Mercury,surface,Vallis,fluvial,fluvial,#2d78e0,57.28,245.96,3,,Angkor Vallis is a valley on Mercury
Borobudur Fossae,Mercury,surface,Fossa,tectonic,tectonic,#d4965a,-32.77,271.5,4,,Borobudur Fossae is a long narrow trough on Mercury
Cahokia Vallis,Mercury,surface,Vallis,fluvial,fluvial,#2d78e0,65.55,233.06,3,,Cahokia Vallis is a valley on Mercury
Caral Vallis,Mercury,surface,Vallis,fluvial,fluvial,#2d78e0,62.66,230.71,3,,Caral Vallis is a valley on Mercury
Paestum Vallis,Mercury,surface,Vallis,fluvial,fluvial,#2d78e0,60.28,233.96,3,,Paestum Vallis is a valley on Mercury
Pantheon Fossae,Mercury,surface,Fossa,tectonic,tectonic,#d4965a,30.19,197.17,4,,Pantheon Fossae is a long narrow trough on Mercury
Timgad Vallis,Mercury,surface,Vallis,fluvial,fluvial,#2d78e0,60.88,243.56,3,,Timgad Vallis is a valley on Mercury
Dostoevskij,Mercury,surface,Crater,crater,crater,#ff5faa,-44.73,178.11,4,,Dostoevskij is an impact crater 430 km across on Mercury
Abeeso Facula,Mercury,surface,Facula,surface,surface,#34d7d1,21.7,214.6,4,,Abeeso Facula is a bright spot on Mercury
Agwo Facula,Mercury,surface,Facula,surface,surface,#34d7d1,22.4,213.7,4,,Agwo Facula is a bright spot on Mercury
