Moon Name,left edge,right edge,
Moon ,-180,-180,E Positive
phobos,0,360,W positive
deimos,0,360,W positive
almathea,0,360,W positive
thebe,0,360,W positive
Io,0,360,W positive
Europa,0,360,W positive
Ganymede,0,360,W positive
Callisto,0,360,W positive
Epimetheus,0,360,W positive
janus ,0,360,W positive
mimas,0,360,W positive
enceladus ,0,360,W positive
tethys,0,360,W positive
dione ,0,360,W positive
rhea,0,360,W positive
titan,0,360,W positive
hyperion,0,360,W positive
iapetus,0,360,W positive
phoebe,0,360,W positive
puck,0,360,E positive
miranda,0,360,E positive
ariel,0,360,E positive
umbriel,0,360,E positive
titania,0,360,E positive
Oberion,0,360,E positive
Proteus,0,360,W positive
Triton,0,360,E positive
charon,0,360,E positive
nix,0,360,E positive
